Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies)
"1211455196964326",2025-09-24,,2025-09-24,"Self Employed -  For self-employed individuals, you must obtain a Self-Employed Income Affidavit and copies of the most recent year's tax returns (e.g., Form 1040 with a Schedule C).",,,,,,,,,Request Documentation,,
"1211455196964327",2025-09-24,,2025-09-24,"Employment Verification - The most reliable method is a signed Employment Verification Form sent directly to the employer. This form should ask for the employee's start date, pay rate, pay frequency, and any projected changes.",,,,,,,,,Request Documentation,,
"1208704778510668",2025-09-24,,2025-09-24,Verify employment and income.,,,,,,,,,Process Rental Applications - Leasing Agent,,
"1211455196964294",2025-09-24,,2025-09-24,Review and Calculate,,,,,,,"Once all documentation is received, the coordinator calculates the household's annualized income and compares it to the current IFA-published income limits for the unit and family size.",,Process Rental Applications - Leasing Agent,,
"1208704778510667",2025-09-24,,2025-09-24,Run a credit and background check.,,,,,,,,,Process Rental Applications - Leasing Agent,,
"1208704778510669",2025-09-24,,2025-09-24,Contact previous landlords for references.,,,,,,,,,Process Rental Applications - Leasing Agent,,
"1211455196964288",2025-09-24,,2025-09-24,Pre-Call Checklist,,,,,,,"Before you make the call, make sure you have the following information and have done your due diligence:
    Written Consent: Ensure you have a signed rental application that includes a clause giving you permission to contact previous landlords. Without this, you could be violating the applicant's privacy rights.
    Applicant Information: Have the applicant's name, the address of the previous rental, the dates of tenancy they provided, and the monthly rent amount they claim they paid.
    Verification: Cross-reference the previous landlord's information to make sure they are, in fact, the owner or a legitimate property manager. You can do this by checking county tax records or searching for the management company online.
",,Contact previous landlords for references.,,
"1211455196964290",2025-09-24,,2025-09-24,Phone Script,,,,,,,"Part 1: Introduction
""Hello, my name is [Your Name] from [Your Company/Property Name]. I'm calling about a rental application for [Applicant's Name]. They listed you as a previous landlord. Is this a good time to speak?""

    If yes: ""Thank you. I have their written consent to contact you to verify some information they provided on their application.""
    If no: ""I understand. What would be a better time for me to call you back?""

Part 2: Verification Questions
This section is for confirming the basic facts and is a crucial first step in spotting a fake reference.
    ""Can you confirm that [Applicant's Name] was a tenant at [Previous Property Address]?""
    ""What were the dates of their tenancy?"" (Compare this to what the applicant provided.)
    ""Was the monthly rent amount $[Rent Amount]?"" (Compare this to the applicant's information. A large discrepancy could be a red flag.)
    ""Were there any other occupants (on or off the lease)?""

Part 3: Behavioral Questions
These questions delve into the tenant's habits and character. Focus on objective, fact-based questions rather than subjective opinions.
    ""Did the tenant consistently pay rent on time and in full?""
        Follow-up: ""Were there any late payments or missed payments?""
    ""Did they give proper written notice before moving out?"" (This is an important indicator of a responsible tenant.)
    ""How did they maintain the property? Was it left in good condition when they moved out?""
        Follow-up: ""Did you need to make any deductions from their security deposit for damages beyond normal wear and tear?""
    ""Were there any lease violations, such as unauthorized pets, unauthorized occupants, or smoking in the unit?""
    ""Did you ever receive any complaints from neighbors or other tenants about noise or behavior?""
    ""Would you rent to this person again?"" (This is often the most telling question. A simple ""yes"" is a strong positive, while hesitation or a ""no"" can indicate a problem. Be prepared to ask for a brief, factual reason why without prying into personal matters.)

Part 4: Closing
""Thank you so much for your time and for providing this information. It's a great help in our screening process. Have a good day.""",,Contact previous landlords for references.,,
"1211455196964295",2025-09-24,,2025-09-24,Finalize TIC,,,,,,,"The coordinator completes the official IFA Tenant Income Certification (TIC) form, ensuring all information is accurate and documented.",,Process Rental Applications - Leasing Agent,,
"1211455196964296",2025-09-24,,2025-09-24,File,,,,,,,The completed TIC and all supporting documents are signed by the tenant and placed in their file for future audits.,,Process Rental Applications - Leasing Agent,,
"1208704778510670",2025-09-24,,2025-09-24,Notify Applicants of Status - Leasing Agent,,,,,,,"Due Date: Within 72 hours of receiving an application.

Description:

Approved: Send the congratulatory email below outlining the next steps (e.g., security deposit payment, lease signing).

Denied: Complete and send the ""Adverse Action"" letter below. This is a legal requirement if a denial is based on information from a consumer report (e.g., credit check, background check). The letter must include the name and contact information of the consumer reporting agency.",,Screening and Application,,
"1208704778510671",2025-09-24,,2025-09-24,Lease Signing and Move-In,,,,,,,"Due Date: Once the applicant is approved and a move-in date is set.

Description: Draft the lease agreement with all legal terms, including rent amount, security deposit amount, and any applicable addendums.",,Vacancy Workflow,,
"1208704778510672",2025-09-24,,2025-09-24,Prepare Lease Agreement - Leasing Agent,,,,,,,,,Lease Signing and Move-In,,
"1208704778510673",2025-09-24,,2025-09-24,Send the lease to the new tenant for e-signature via AppFolio.,,,,,,,,,Prepare Lease Agreement - Leasing Agent,,
"1208704778510674",2025-09-24,,2025-09-24,Collect Funds - Property Manager/Accounting,,,,,,,"Due Date: Before the move-in date.

Description: Collect the first month's rent and the security deposit as outlined in the lease.

Note: Iowa Code § 562A.12 states that a security deposit cannot exceed two months' rent. Ensure the funds are correctly handled and recorded. The deposit must be held in a separate bank account, not commingled with the landlord's personal funds.",,Lease Signing and Move-In,,
"1208704778510675",2025-09-24,,2025-09-24,Conduct Move-In Inspection - Property Manager,,,,,,,"Due Date: On or before the move-in date.

Description: Walk through the unit with the new tenant and document the property's condition using photos and a written report. Both parties should sign the report. This is a critical legal document for protecting the security deposit at the end of the tenancy.",,Lease Signing and Move-In,,
"1208704778510676",2025-09-24,,2025-09-24,Take and upload photos of all rooms and appliances to the inspection report.,,,,,,,,,Conduct Move-In Inspection - Property Manager,,
"1208704778510678",2025-09-24,,2025-09-24,Hand Over Keys & Welcome Tenant - Leasing Agent,,,,,,,"Due Date: On the move-in date.

Description: Provide the tenant with all keys, access codes, and a welcome packet with important information (e.g., how to set up utilities, emergency contact numbers, and maintenance request procedures).",,Lease Signing and Move-In,,
"1208704778510679",2025-09-24,,2025-09-24,"Update the unit's status in AppFolio from ""Vacant"" to ""Occupied.""",,,,,,,,,Hand Over Keys & Welcome Tenant - Leasing Agent,,
"1208704778510680",2025-09-24,,2025-09-24,Start New Resident Workflow,,,,,,,,,Hand Over Keys & Welcome Tenant - Leasing Agent,,
"1211447932621795",2025-09-23,,2025-09-24,New Resident Workflow,Untitled section,,,,,,,Apollo Apartments,,,
"1208704778510681",2025-09-24,,2025-09-24,Pre-Move In and Documentation,,,,,,,,,New Resident Workflow,,
"1208704778510683",2025-09-24,,2025-09-24,Complete Lease Agreement and Collect Financials - Leasing Agent,,,,,,,"Due Date: At least 7 days before move-in.

Description: Ensure the lease agreement is fully executed.",,Pre-Move In and Documentation,,
"1208704778510684",2025-09-24,,2025-09-24,Sign new leases,,,,,,,,,Complete Lease Agreement and Collect Financials - Leasing Agent,,
"1208704778510685",2025-09-24,,2025-09-24,Collect first month's rent and the security deposit.,,,,,,,,,Complete Lease Agreement and Collect Financials - Leasing Agent,,
"1208704778510686",2025-09-24,,2025-09-24,Ensure the security deposit does not exceed two months' rent as per Iowa law and is held in a separate bank account.,,,,,,,,,Complete Lease Agreement and Collect Financials - Leasing Agent,,
"1211455194280507",2025-09-24,,2025-09-24,Collect Tenant Information & Set Up in AppFolio - Property Manager,,,,,,,"    Due Date: 5 days before move-in.

    Description: Enter the new tenant's information into the AppFolio property management system. This is crucial for rent collection, communication, and maintenance tracking.
",,Pre-Move In and Documentation,,
"1211455194280509",2025-09-24,,2025-09-24,Collect all tenants contact info/#,,,,,,,,,Collect Tenant Information & Set Up in AppFolio - Property Manager,,
"1211455194280510",2025-09-24,,2025-09-24,Setup in appfolio,,,,,,,,,Collect Tenant Information & Set Up in AppFolio - Property Manager,,
"1211455194280511",2025-09-24,,2025-09-24,Complete LIHTC Initial Certification - Compliance Coordinator,,,,,,,"    Due Date: 3 days before move-in.

    Description: Ensure the Tenant Income Certification (TIC) and all supporting documentation are completed and signed. This is a critical step for program compliance.
",,Pre-Move In and Documentation,,
"1211455194280512",2025-09-24,,2025-09-24,Collect Tenant Income Certificates,,,,,,,,,Complete LIHTC Initial Certification - Compliance Coordinator,,
"1211455194280513",2025-09-24,,2025-09-24,"Collect Social Security cards, birth certificates, and photo IDs for all household members.",,,,,,,,,Complete LIHTC Initial Certification - Compliance Coordinator,,
"1211455194280514",2025-09-24,,2025-09-24,"Verify all income sources with third-party documentation (e.g., last 3-6 months of pay stubs, Social Security award letters, or bank statements).",,,,,,,,,Complete LIHTC Initial Certification - Compliance Coordinator,,
"1211455194280515",2025-09-24,,2025-09-24,"Obtain an Asset Self-Certification form for all assets, verifying any with documentation if they exceed the LIHTC threshold.",,,,,,,,,Complete LIHTC Initial Certification - Compliance Coordinator,,
"1211455194280516",2025-09-24,,2025-09-24,Complete and obtain a signed student status certification for all household members.,,,,,,,,,Complete LIHTC Initial Certification - Compliance Coordinator,,
"1211455194280517",2025-09-24,,2025-09-24,Provide and have the tenant sign the required Violence Against Women Act (VAWA) Notice of Occupancy Rights and the VAWA Lease Addendum.,,,,,,,,,Complete LIHTC Initial Certification - Compliance Coordinator,,
"1211455194280518",2025-09-24,,2025-09-24,Confirm the household's annual income is at or below the current IFA-published income limit for their family size.,,,,,,,,,Complete LIHTC Initial Certification - Compliance Coordinator,,
"1211455194280519",2025-09-24,,2025-09-24,Welcome & Orientation,,,,,,,,,New Resident Workflow,,
"1211455194280521",2025-09-24,,2025-09-24,Conduct Move-In Walk-Through & Orientation - Property Manager,,,,,,,"    Due Date: On the move-in date.

    Description: Greet the resident, hand over the keys, and conduct a joint inspection of the unit. This is also the time to review key operational procedures and community programs.

",,Welcome & Orientation,,
"1211455194280523",2025-09-24,,2025-09-24,Review the signed move-in inspection report with the tenant and take additional photos if necessary.,,,,,,,,,Conduct Move-In Walk-Through & Orientation - Property Manager,,
"1211455194280524",2025-09-24,,2025-09-24,Review Property and Community Information - Property Manager,,,,,,,"    Due Date: On the move-in date.

    Description: Provide the resident with a Welcome Packet and verbally review all important information. This is where you introduce the unique community programs.

",,Welcome & Orientation,,
"1211455194280526",2025-09-24,,2025-09-24,"Share renovation plans (LVP and paint in halls, painting or staining exterior siding/brick, security doors with key fobs for building access, exterior lights)",,,,,,,,,Review Property and Community Information - Property Manager,,
"1211455194280527",2025-09-24,,2025-09-24,"Share custodial program/expectation (cleaner comes through your building 1hr per week to clean hallways, expect you to treat them with respect and clean up any messes you make.)",,,,,,,,,Review Property and Community Information - Property Manager,,
"1211455194280528",2025-09-24,,2025-09-24,Share 10 Step Resident wellness program,,,,,,,,,Review Property and Community Information - Property Manager,,
"1211455194280529",2025-09-24,,2025-09-24,Share Referrals Program (1 month free rent + live next to a friend if they are approved AND they are renewed for a 2nd year),,,,,,,,,Review Property and Community Information - Property Manager,,
"1211455194280525",2025-09-24,,2025-09-24,Review Maintenance & Emergency Procedures - Property Manager,,,,,,,"    Due Date: On the move-in date.

    Description: Make sure the resident knows how to handle maintenance requests and who to contact in an emergency.

",,Welcome & Orientation,,
"1211455194280530",2025-09-24,,2025-09-24,Collect maintenance requests,,,,,,,,,Review Maintenance & Emergency Procedures - Property Manager,,
"1211455194280531",2025-09-24,,2025-09-24,Share Maintenance QR code/locations,,,,,,,,,Review Maintenance & Emergency Procedures - Property Manager,,
"1211455196964274",2025-09-24,,2025-09-24,Share office hours schedule,,,,,,,,,Review Maintenance & Emergency Procedures - Property Manager,,
"1211455196964275",2025-09-24,,2025-09-24,Share emergency telephone #,,,,,,,,,Review Maintenance & Emergency Procedures - Property Manager,,
"1211455196964276",2025-09-24,,2025-09-24,Set Clear Expectations and Offer Opportunities - Property Manager,,,,,,,"    Due Date: On the move-in date.

    Description: Be transparent about the rules and regulations outlined in the lease.
",,Welcome & Orientation,,
"1211455196964277",2025-09-24,,2025-09-24,Make clear delinquency/eviction rules,,,,,,,,,Set Clear Expectations and Offer Opportunities - Property Manager,,
"1211455196964278",2025-09-24,,2025-09-24,Offer options make extra $ short term,,,,,,,,,Set Clear Expectations and Offer Opportunities - Property Manager,,
"1211455196964279",2025-09-24,,2025-09-24,Post-Move-In & Follow-Up,,,,,,,,,New Resident Workflow,,
"1211455196964280",2025-09-24,,2025-09-24,Send Post-Move-In Follow-Up - Property Manager,,,,,,,"    Due Date: 7 days after move-in.
    Description: Send a brief email or text to the new resident to check in.
",,Post-Move-In & Follow-Up,,
"1211455196964281",2025-09-24,,2025-09-24,Ask if they have any questions and if everything is working correctly in the unit.,,,,,,,,,Send Post-Move-In Follow-Up - Property Manager,,
"1211455196964282",2025-09-24,,2025-09-24,Remind them of the Maintenance QR code and the first event for the 10-Step Resident Wellness Program in the upcoming month.,,,,,,,,,Send Post-Move-In Follow-Up - Property Manager,,
"1211455196964283",2025-09-24,,2025-09-24,File the fully executed lease agreement and all LIHTC compliance documentation in the tenant's file.,,,,,,,,,Send Post-Move-In Follow-Up - Property Manager,,
"1211447932621797",2025-09-23,,2025-09-24,Maintenance Workflow,Untitled section,,,,,,,Apollo Apartments,,,
"1208704778510638",2025-09-24,,2025-09-24,Receive and Triage,,,,,,,,,Maintenance Workflow,,
"1208704778510639",2025-09-24,,2025-09-24,New Maintenance Request Notification  - Maintenance Coordinator,,,,,,,"Due Date: Same day as submission.

Description: An automated task is created in Asana from the AppFolio work order.

Rule: When a new maintenance request is submitted in AppFolio, a new task is automatically created in this Asana project.",,Receive and Triage,,
"1208704778510640",2025-09-24,,2025-09-24,Triage & Prioritize Request  - Maintenance Coordinator,,,,,,,"Due Date: Within 4 hours of receiving the request.

Description: Review the request details, photos, and any notes from the tenant. Assign a priority level based on severity.

High Priority (Emergency): Affects health or safety (e.g., no heat in winter, major water leak, fire hazard). Action: Immediate contact and dispatch.

Medium Priority: Significantly impacts a tenant's quality of life but isn't an immediate hazard (e.g., broken appliance, minor leak). Action: Schedule within 48-72 hours.

Low Priority: Cosmetic or minor non-essential repairs (e.g., broken blinds, dripping faucet). Action: Schedule within 7 days or bundle with other non-urgent repairs.",,Receive and Triage,,
"1208704778510641",2025-09-24,,2025-09-24,Acknowledge Receipt with Tenant  - Maintenance Coordinator,,,,,,,"Due Date: Same day as the request.

Description: Send a confirmation message to the tenant via the AppFolio portal. Inform them the request has been received and provide an estimated timeline for the repair.

Note: Proactive communication can prevent a tenant from escalating the issue to a formal written notice, which could trigger a tight legal repair deadline under Iowa law.",,Receive and Triage,,
"1208704778510642",2025-09-24,,2025-09-24,Schedule Repair Appointment - Maintenance Coordinator,,,,,,,,,Receive and Triage,,
"1208704778510643",2025-09-24,,2025-09-24,Schedule and Dispatch,,,,,,,,,Maintenance Workflow,,
"1208704778510644",2025-09-24,,2025-09-24,"Schedule Repair Appointment
​- Maintenance Coordinator",,,,,,,"Due Date: Based on the assigned priority level.

Description: Coordinate with the tenant to set a specific date and time for the repair.",,Schedule and Dispatch,,
"1208704778510645",2025-09-24,,2025-09-24,"For non-emergency repairs, send a written ""Notice of Entry"" to the tenant. Iowa Code § 562A.19 requires landlords to give at least 24 hours' notice before entering a unit for repairs, unless it's an emergency.",,,,,,,,,"Schedule Repair Appointment
​- Maintenance Coordinator",,
"1208704778510646",2025-09-24,,2025-09-24,Assign the work order to an in-house technician or an approved third-party vendor in AppFolio.,,,,,,,,,"Schedule Repair Appointment
​- Maintenance Coordinator",,
"1208704778510647",2025-09-24,,2025-09-24,"Dispatch Technician
​- Maintenance Coordinator",,,,,,,"Due Date: Day of the scheduled repair.

Description: Ensure the technician has all the necessary information, tools, and parts for the job.",,Schedule and Dispatch,,
"1208704778510648",2025-09-24,,2025-09-24,"Technician completes the repair and logs notes, photos, and time in AppFolio.",,,,,,,,,"Dispatch Technician
​- Maintenance Coordinator",,
"1208704778510649",2025-09-24,,2025-09-24,"Follow Up with Tenant
​- Maintenance Coordinator",,,,,,,"Due Date: Day after the repair is marked complete.

Description: Contact the tenant to confirm the repair was completed to their satisfaction. This is a crucial step for tenant relations and to close the loop on the work order.",,Schedule and Dispatch,,
"1208704778510650",2025-09-24,,2025-09-24,Close Out & Documentation,,,,,,,,,Maintenance Workflow,,
"1208704778510651",2025-09-24,,2025-09-24,"Review & Close Work Order
​- Maintenance Coordinator",,,,,,,"Due Date: Within 24 hours of repair completion.

Description: Review the technician's notes, photos, and expenses in AppFolio to confirm the job is done.",,Close Out & Documentation,,
"1208704778510652",2025-09-24,,2025-09-24,Upload any receipts or invoices related to the repair.,,,,,,,,,"Review & Close Work Order
​- Maintenance Coordinator",,
"1208704778510653",2025-09-24,,2025-09-24,"Mark the work order as ""Closed"" in AppFolio and the corresponding task as ""Complete"" in Asana.",,,,,,,,,"Review & Close Work Order
​- Maintenance Coordinator",,
"1208704778510654",2025-09-24,,2025-09-24,"Final Documentation
​-  Maintenance Coordinator",,,,,,,"Due Date: Within 7 days of repair completion.

Description: Ensure all communication, documentation, and expenses are properly filed within the tenant's record for future reference or in case of a legal dispute.

Note: Maintaining clear records is essential. If a tenant formally serves a landlord with a written notice to repair, the landlord has seven days to make the repair, or the tenant may have legal recourse. Proper documentation proves the landlord's timely actions.",,Close Out & Documentation,,
"1211447932621801",2025-09-23,,2025-09-24,Turnover Workflow,Untitled section,,,,,,,Apollo Apartments,,,
"1208704778510613",2025-09-24,,2025-09-24,Pre-Move-Out Phase - PM,,,,,,,,,Turnover Workflow,,
"1208704778510614",2025-09-24,,2025-09-24,Send Move-Out Instructions,,,,,,,"Due Date: 30 days before the lease end date.

Description: Provide the tenant with a checklist of move-out procedures, including cleaning expectations, utility shut-off protocols, and key return instructions.",,Pre-Move-Out Phase - PM,,
"1208704778510615",2025-09-24,,2025-09-24,Remind the tenant to provide a forwarding address for the security deposit return. Iowa law requires a landlord to return the security deposit within 30 days of the tenancy's end and receipt of the tenant's new mailing address.,,,,,,,,,Send Move-Out Instructions,,
"1208704778510616",2025-09-24,,2025-09-24,Include a copy of the original move-in inspection report for reference.,,,,,,,,,Send Move-Out Instructions,,
"1208704778510617",2025-09-24,,2025-09-24,Schedule Final Walkthrough,,,,,,,"Due Date: A few days before or on the lease end date.

Description: Arrange a final inspection with the tenant to assess the property's condition. This is an opportunity to document any damages and discuss potential deductions from the security deposit.",,Pre-Move-Out Phase - PM,,
"1208704778510618",2025-09-24,,2025-09-24,Take detailed photos and videos of the unit's condition.,,,,,,,,,Schedule Final Walkthrough,,
"1208704778510619",2025-09-24,,2025-09-24,Move-Out Day & Initial Inspection - PM,,,,,,,,,Turnover Workflow,,
"1208704778510620",2025-09-24,,2025-09-24,Receive Keys and Confirm Vacancy ,,,,,,,"Due Date: Lease end date.

Description: Collect all keys, fobs, and garage openers. Ensure the unit is completely vacated of the tenant and their belongings.",,Move-Out Day & Initial Inspection - PM,,
"1208704778510621",2025-09-24,,2025-09-24,Perform Detailed Move-Out Inspection - Maintenance Lead,,,,,,,"Due Date: Within 24 hours of vacancy.

Description: Conduct a thorough inspection, comparing the current condition to the move-in report. Document all damages with photos and notes.",,Move-Out Day & Initial Inspection - PM,,
"1208704778510622",2025-09-24,,2025-09-24,"Identify items considered ""beyond ordinary wear and tear"" (e.g., holes in walls, large stains on carpet). Iowa law allows for deductions for damages, but not for normal wear and tear.",,,,,,,,,Perform Detailed Move-Out Inspection - Maintenance Lead,,
"1208704778510623",2025-09-24,,2025-09-24,Note any remaining tenant property.,,,,,,,,,Perform Detailed Move-Out Inspection - Maintenance Lead,,
"1208704778510624",2025-09-24,,2025-09-24,Calculate Security Deposit Deductions,,,,,,,"Due Date: Within 15 days of vacancy.

Description: Compile a written, itemized statement of any deductions from the security deposit, including specific reasons for each charge (e.g., ""cost to repair drywall,"" ""cost to replace broken window"").",,Move-Out Day & Initial Inspection - PM,,
"1208704778510625",2025-09-24,,2025-09-24,Attach copies of receipts or quotes for repairs.,,,,,,,,,Calculate Security Deposit Deductions,,
"1208704778510626",2025-09-24,,2025-09-24,Security Deposit & Property Handling,,,,,,,,,Move-Out Day & Initial Inspection - PM,,
"1208704778510627",2025-09-24,,2025-09-24,Return Security Deposit or Send Itemized Statement,,,,,,,"Due Date: Within 30 days of the termination of the tenancy and receipt of the tenant's forwarding address.

Description:

If no deductions, mail the full security deposit to the tenant.

If deductions are made, send the itemized statement and the remaining deposit balance via certified mail to the forwarding address.

Iowa law states that if the landlord fails to provide the written statement within 30 days, they forfeit all rights to withhold any portion of the deposit.",,Security Deposit & Property Handling,,
"1208704778510628",2025-09-24,,2025-09-24,Handle Abandoned Property,,,,,,,"Due Date: After confirming abandonment.

Description: If the tenant leaves personal property behind, Iowa Code § 562A.29 allows a landlord to dispose of it as they see fit after the property has been deemed abandoned.

Note: While the law is permissive, it's a best practice to document the property left behind with photos and make a reasonable attempt to contact the tenant before disposal to avoid disputes.",,Security Deposit & Property Handling,,
"1208704778510629",2025-09-24,,2025-09-24,Take photos of all abandoned items.,,,,,,,,,Handle Abandoned Property,,
"1208704778510630",2025-09-24,,2025-09-24,"If practical, box up and store valuable items for a brief period (e.g., 7 days).",,,,,,,,,Handle Abandoned Property,,
"1208704778510631",2025-09-24,,2025-09-24,Turnover & Rerenting,,,,,,,,,Turnover Workflow,,
"1208704778510632",2025-09-24,,2025-09-24,Complete Turnover Maintenance and Cleaning - Maintenance Team,,,,,,,"Due Date: Immediately after the unit is vacant and inspected.

Description: Complete all necessary cleaning, painting, and repairs to prepare the unit for the next occupant.",,Turnover & Rerenting,,
"1208704778510633",2025-09-24,,2025-09-24,Create a punch list from the move-out inspection.,,,,,,,,,Complete Turnover Maintenance and Cleaning - Maintenance Team,,
"1208704778510634",2025-09-24,,2025-09-24,Schedule professional cleaning and carpet cleaning.,,,,,,,,,Complete Turnover Maintenance and Cleaning - Maintenance Team,,
"1208704778510656",2025-09-24,,2025-09-24,Create a new move-in inspection report to be used with the new tenant.,,,,,,,Due Date: As soon as the unit is clean and presentable.,,Turnover & Rerenting,,
"1208704778510657",2025-09-24,,2025-09-24,Start Vacancy Workflow,,,,,,,,,Turnover & Rerenting,,
"1211447932621803",2025-09-23,,2025-09-23,Renewal Workflow,Untitled section,,,,,,,Apollo Apartments,,,
"1211447933524556",2025-09-23,,2025-09-23,90 Days before Lease Expiration - Compliance Coordinator,,,,,,,,,Renewal Workflow,,
"1211447933524558",2025-09-23,,2025-09-23,"Generate and Send ""Intent to Renew"" Notice",,,,,,,"    Due Date: 90 days before the lease expiration.
    Description: Prepare a written notice to the tenant to determine their intent to renew the lease. Iowa Code does not specify a notice period for lease termination or renewal, so providing ample notice is a best practice. This notice should also inform the tenant about the upcoming annual recertification process.
",,90 Days before Lease Expiration - Compliance Coordinator,,
"1211447933524559",2025-09-23,,2025-09-23,"Include the LIHTC Recertification Packet with the notice. This packet should contain forms for income, asset, and household composition verification.

",,,,,,,,,"Generate and Send ""Intent to Renew"" Notice",,
"1211447933524557",2025-09-23,,2025-09-23,60 Days Before Lease Expiration - Compliance Coordinator,,,,,,,,,Renewal Workflow,,
